iOS Emoji

by Eric Fredricksen 2016 (source code)
This'll work best in Safari; Chrome will show most of it correctly.
[dense] [descriptive]
People
🐉	DRAGON	&#x1f409;
🐲	DRAGON FACE	&#x1f432;
🌵	CACTUS	&#x1f335;
🎄	CHRISTMAS TREE	&#x1f384;
🌲	EVERGREEN TREE	&#x1f332;
🌳	DECIDUOUS TREE	&#x1f333;
🌴	PALM TREE	&#x1f334;
🌱	SEEDLING	&#x1f331;
🌿	HERB	&#x1f33f;
☘	SHAMROCK	&#x2618;
🍀	FOUR LEAF CLOVER	&#x1f340;
🎍	PINE DECORATION	&#x1f38d;
🎋	TANABATA TREE	&#x1f38b;
🍃	LEAF FLUTTERING IN WIND	&#x1f343;
🍂	FALLEN LEAF	&#x1f342;
🍁	MAPLE LEAF	&#x1f341;
🌾	EAR OF RICE	&#x1f33e;
🌺	HIBISCUS	&#x1f33a;
🌻	SUNFLOWER	&#x1f33b;
🌹	ROSE	&#x1f339;
🌷	TULIP	&#x1f337;
🌼	BLOSSOM	&#x1f33c;
🌸	CHERRY BLOSSOM	&#x1f338;
💐	BOUQUET	&#x1f490;
🍄	MUSHROOM	&#x1f344;
🌰	CHESTNUT	&#x1f330;
🎃	JACK-O-LANTERN	&#x1f383;
🐚	SPIRAL SHELL	&#x1f41a;
🕸	SPIDER WEB	&#x1f578;
🌎	EARTH GLOBE AMERICAS	&#x1f30e;
🌍	EARTH GLOBE EUROPE-AFRICA	&#x1f30d;
🌏	EARTH GLOBE ASIA-AUSTRALIA	&#x1f30f;
🌕	FULL MOON SYMBOL	&#x1f315;
🌖	WANING GIBBOUS MOON SYMBOL	&#x1f316;
🌗	LAST QUARTER MOON SYMBOL	&#x1f317;
🌘	WANING CRESCENT MOON SYMBOL	&#x1f318;
🌑	NEW MOON SYMBOL	&#x1f311;
🌒	WAXING CRESCENT MOON SYMBOL	&#x1f312;
🌓	FIRST QUARTER MOON SYMBOL	&#x1f313;
🌔	WAXING GIBBOUS MOON SYMBOL	&#x1f314;
🌚	NEW MOON WITH FACE	&#x1f31a;
🌝	FULL MOON WITH FACE	&#x1f31d;
🌛	FIRST QUARTER MOON WITH FACE	&#x1f31b;
🌜	LAST QUARTER MOON WITH FACE	&#x1f31c;
🌞	SUN WITH FACE	&#x1f31e;
🌙	CRESCENT MOON	&#x1f319;
⭐️	WHITE MEDIUM STAR	&#x2b50;&#xfe0f;
🌟	GLOWING STAR	&#x1f31f;
💫	DIZZY SYMBOL	&#x1f4ab;
✨	SPARKLES	&#x2728;
☄️	COMET	&#x2604;&#xfe0f;
☀️	BLACK SUN WITH RAYS	&#x2600;&#xfe0f;
🌤	WHITE SUN WITH SMALL CLOUD	&#x1f324;
⛅️	SUN BEHIND CLOUD	&#x26c5;&#xfe0f;
🌥	WHITE SUN BEHIND CLOUD	&#x1f325;
🌦	WHITE SUN BEHIND CLOUD WITH RAIN	&#x1f326;
☁️	CLOUD	&#x2601;&#xfe0f;
🌧	CLOUD WITH RAIN	&#x1f327;
⛈	THUNDER CLOUD AND RAIN	&#x26c8;
🌩	CLOUD WITH LIGHTNING	&#x1f329;
⚡️	HIGH VOLTAGE SIGN	&#x26a1;&#xfe0f;
🔥	FIRE	&#x1f525;
💥	COLLISION SYMBOL	&#x1f4a5;
❄️	SNOWFLAKE	&#x2744;&#xfe0f;
🌨	CLOUD WITH SNOW	&#x1f328;
☃️	SNOWMAN	&#x2603;&#xfe0f;
⛄️	SNOWMAN WITHOUT SNOW	&#x26c4;&#xfe0f;
🌬	WIND BLOWING FACE	&#x1f32c;
💨	DASH SYMBOL	&#x1f4a8;
🌪	CLOUD WITH TORNADO	&#x1f32a;
🌫	FOG	&#x1f32b;
☂️	UMBRELLA	&#x2602;&#xfe0f;
☔️	UMBRELLA WITH RAIN DROPS	&#x2614;&#xfe0f;
💧	DROPLET	&#x1f4a7;
